Day,Month,Year,Venue,City,Country,Tour
6,Sep,1980,Joe Louis Arena,Detroit,United States of America,1980 World Tour
7,Sep,1980,Maple Leaf Gardens,Toronto,Canada,1980 World Tour
8,Sep,1980,Maple Leaf Gardens,Toronto,Canada,1980 World Tour
9,Sep,1980,The Forum,Montreal,Canada,1980 World Tour
11,Sep,1980,Civic Center,Providence,United States of America,1980 World Tour
12,Sep,1980,Hartford Civic Center,Hartford,United States of America,1980 World Tour
13,Sep,1980,Central Park,New York,United States of America,1980 World Tour
16,Sep,1980,Baltimore Civic Center,Baltimore,United States of America,1980 World Tour
18,Sep,1980,Charlotte Coliseum,Charlotte,United States of America,1980 World Tour
19,Sep,1980,Carolina Coliseum,Columbia,United States of America,1980 World Tour
20,Sep,1980,Reynolds Coliseum,Raleigh,United States of America,1980 World Tour
23,Sep,1980,Hampton Roads Coliseum,Hampton,United States of America,1980 World Tour
25,Sep,1980,Millett Hall,Oxford,United States of America,1980 World Tour
26,Sep,1980,Rupp Arena,Lexington,United States of America,1980 World Tour
27,Sep,1980,Market Square Arena,Indianapolis,United States of America,1980 World Tour
28,Sep,1980,Centennial Hall,Toledo,United States of America,1980 World Tour
29,Sep,1980,Richfield Coliseum,Richfield,United States of America,1980 World Tour
2,Oct,1980,Elliott Hall of Music,W. Lafayette,United States of America,1980 World Tour
3,Oct,1980,SIU Arena,Carbondale,United States of America,1980 World Tour
4,Oct,1980,Assembly Hall,Champaign,United States of America,1980 World Tour
5,Oct,1980,NU Sports Complex,Lincoln,United States of America,1980 World Tour
7,Oct,1980,Convention Center,Tulsa,United States of America,1980 World Tour
9,Oct,1980,The Myriad,Oklahoma City,United States of America,1980 World Tour
10,Oct,1980,Kemper Arena,Kansas City,United States of America,1980 World Tour
11,Oct,1980,Hilton Coliseum,Ames,United States of America,1980 World Tour
14,Oct,1980,The Summit,Houston,United States of America,1980 World Tour
15,Oct,1980,Student Activities Center,Austin,United States of America,1980 World Tour
16,Oct,1980,Reunion Arena,Dallas,United States of America,1980 World Tour
18,Oct,1980,McNichols Arena,Denver,United States of America,1980 World Tour
20,Oct,1980,Portland Memorial Coliseum,Portland,United States of America,1980 World Tour
21,Oct,1980,Seattle Center Coliseum,Seattle,United States of America,1980 World Tour
23,Oct,1980,Freeborn Hall,Davis,United States of America,1980 World Tour
24,Oct,1980,Oakland-Alameda County Coliseum Arena,Oakland,United States of America,1980 World Tour
26,Oct,1980,Community Center Arena,Tucson,United States of America,1980 World Tour
28,Oct,1980,ASU Activities Center,Tempe,United States of America,1980 World Tour
29,Oct,1980,Sports Arena,San Diego,United States of America,1980 World Tour
1,Nov,1980,Anaheim Convention Center,Anaheim,United States of America,1980 World Tour
2,Nov,1980,Anaheim Convention Center,Anaheim,United States of America,1980 World Tour
3,Nov,1980,Anaheim Convention Center,Anaheim,United States of America,1980 World Tour
6,Nov,1980,The Forum,Los Angeles,United States of America,1980 World Tour
7,Nov,1980,The Forum,Los Angeles,United States of America,1980 World Tour
8,Nov,1980,The Forum,Los Angeles,United States of America,1980 World Tour
9,Nov,1980,The Forum,Los Angeles,United States of America,1980 World Tour
14,Nov,1980,Blaisdell Arena,Honolulu,United States of America,1980 World Tour
15,Nov,1980,Blaisdell Arena,Honolulu,United States of America,1980 World Tour
16,Nov,1980,Blaisdell Arena,Honolulu,United States of America,1980 World Tour
22,Nov,1980,Auckland Western Springs,Auckland,New Zealand,1980 World Tour
26,Nov,1980,Athletic Park,Wellington,New Zealand,1980 World Tour
30,Nov,1980,Horden Pavilion,Sydney,Australia,1980 World Tour
1,Dec,1980,Horden Pavilion,Sydney,Australia,1980 World Tour
2,Dec,1980,Horden Pavilion,Sydney,Australia,1980 World Tour
3,Dec,1980,Horden Pavilion,Sydney,Australia,1980 World Tour
6,Dec,1980,Festival Hall,Brisbane,Australia,1980 World Tour
7,Dec,1980,Festival Hall,Brisbane,Australia,1980 World Tour
8,Dec,1980,Festival Hall,Brisbane,Australia,1980 World Tour
11,Dec,1980,Festival Hall,Melbourne,Australia,1980 World Tour
12,Dec,1980,Festival Hall,Melbourne,Australia,1980 World Tour
13,Dec,1980,Festival Hall,Melbourne,Australia,1980 World Tour
16,Dec,1980,Memorial Drive Tennis Courts,Adelaide,Australia,1980 World Tour
20,Dec,1980,Entertainment Centre,Perth,Australia,1980 World Tour
21,Dec,1980,Entertainment Centre,Perth,Australia,1980 World Tour
22,Dec,1980,Entertainment Centre,Perth,Australia,1980 World Tour
2,Apr,1981,Apollo Theatre,Glasgow,United Kingdom,none
20,Jun,1981,Windsor Castle,Windsor,United Kingdom,private concert for prince andrew
6,Mar,1982,Western Springs Stadium,Auckland,New Zealand,Jump Up Down Under
10,Mar,1982,Athletic Park,Wellington,New Zealand,Jump Up Down Under
13,Mar,1982,Western Springs Stadium,Auckland,New Zealand,Jump Up Down Under
16,Mar,1982,Hordern Pavilion,Sydney,Australia,Jump Up Down Under Tour
17,Mar,1982,Hordern Pavilion,Sydney,Australia,Jump Up Down Under Tour
18,Mar,1982,Hordern Pavilion,Sydney,Australia,Jump Up Down Under Tour
19,Mar,1982,Hordern Pavilion,Sydney,Australia,Jump Up Down Under Tour
20,Mar,1982,Hordern Pavilion,Sydney,Australia,Jump Up Down Under Tour
21,Mar,1982,Hordern Pavilion,Sydney,Australia,Jump Up Down Under Tour
23,Mar,1982,Festival Hall,Brisbane,Australia,Jump Up Down Under Tour
24,Mar,1982,Festival Hall,Brisbane,Australia,Jump Up Down Under Tour
28,Mar,1982,ABC Studios,Melbourne,Australia,Jump Up Down Under Tour
29,Mar,1982,Festival Hall,Melbourne,Australia,Jump Up Down Under Tour
30,Mar,1982,Festival Hall,Melbourne,Australia,Jump Up Down Under Tour
3,Apr,1982,Memorial Drive,Adelaide,Australia,Jump Up Down Under Tour
7,Apr,1982,Entertainment Center,Perth,Australia,Jump Up Down Under Tour
30,Apr,1982,Stockholm Hovet,Stockholm,Sweden,Jump Up Tour
2,May,1982,unknown,Helsinki,Finland,Jump Up Tour
4,May,1982,Drammenshallen,Drammen,Norway,Jump Up Tour
5,May,1982,Scandinavium,Göteborg,Sweden,Jump Up Tour
6,May,1982,Brøndbyhallen,Brøndby,Denmark,Jump Up Tour
8,May,1982,Ahoy Arena,Rotterdam,Netherlands,Jump Up Tour
9,May,1982,Vorst Nationaal,Brussels,Belgium,Jump Up Tour
10,May,1982,Vorst Nationaal,Brussels,Belgium,Jump Up tour
11,May,1982,Philipshalle,Dusseldorf,Germany,Jump Up Tour
12,May,1982,unknown,Hamburg,Germany,Jump Up Tour
13,May,1982,unknown,Berlin,Germany,Jump Up Tour
14,May,1982,unknown,Cologne,France,Jump Up Tour
16,May,1982,The Bercy,Paris,France,Jump Up Tour
17,May,1982,The Bercy,Paris,France,Jump Up Tour
18,May,1982,unknown,Frankfurt,Germany,Jump Up Tour
19,May,1982,unknown,Saarbruechen,Germany,Jump Up Tour
20,May,1982,Sporthalle,Basel,Switzerland,Jump Up Tour
21,May,1982,unknown,Ludwigshaven,Germany,Jump Up Tour
23,May,1982,unknown,Munchen,Germany,Jump Up Tour
25,May,1982,Palais Des Sports,Lyon,France,Jump Up Tour
26,May,1982,Parc Des Expositions,Avignon,France,Jump Up Tour
27,May,1982,unknown,Toulouse,France,Jump Up Tour
28,May,1982,unknown,Bordeaux,France,Jump Up Tour
29,May,1982,Palais Des Sports,Nantes,France,Jump Up Tour
30,May,1982,Foire Exposition,Lille,France,Jump Up Tour
12,Jun,1982,Red Rocks Amphitheatre,Morrison,United States of America,Jump Up Tour
17,Jun,1982,Civic Auditorium,San Francisco,United States of America,Jump Up Tour
18,Jun,1982,The Greek Theatre,Los Angeles,United States of America,Jump Up Tour
19,Jun,1982,Irvine Meadows Amphitheatre,Irvine,United States of America,Jump Up Tour
25,Jun,1982,Hollywood Bowl,Los Angeles,United States of America,Jump Up Tour
26,Jun,1982,Hollywood Bowl,Los Angeles,United States of America,Jump Up Tour
27,Jun,1982,Hollywood Bowl,Los Angeles,United States of America,Jump Up Tour
29,Jun,1982,Compton Terrace,Phoenix,United States of America,Jump Up Tour
1,Jul,1982,Tulsa Assembly Center,Tulsa,United States of America,Jump Up Tour
2,Jul,1982,Barton Coliseum,Little Rock,United States of America,Jump Up Tour
5,Jul,1982,Jefferson National Expansion Memorial,St. Louis,United States of America,Jump Up Tour
7,Jul,1982,Starlight Theatre,Kansas City,United States of America,Jump Up Tour
8,Jul,1982,Civic Auditorium,Omaha,United States of America,Jump Up Tour
9,Jul,1982,St. Paul Civic Center,St. Paul,United States of America,Jump Up
10,Jul,1982,Poplar Creek Music Theatre,Chicago,United States of America,Jump Up Tour
11,Jul,1982,Poplar Creek Music Theatre,Chicago,United States of America,Jump Up Tour
13,Jul,1982,Blossom Music Center,Cuyahoga Falls,United States of America,Jump Up Tour
15,Jul,1982,Pine Knob Music Theatre,Clarkston,United States of America,Jump Up Tour
16,Jul,1982,Pine Knob Music Theatre,Clarkston,United States of America,Jump Up Tour
17,Jul,1982,Pine Knob Music Theatre,Clarkston,United States of America,Jump Up Tour
18,Jul,1982,Indianapolis Tennis Center,Indianapolis,United States of America,Jump Up Tour
20,Jul,1982,The Omni,Atlanta,United States of America,Jump Up Tour
21,Jul,1982,Capital Centre,Landover,United States of America,Jump Up Tour
22,Jul,1982,Merriweather Post Pavilion,Columbia,United States of America,Jump Up Tour
23,Jul,1982,Merriweather Post Pavilion,Columbia,United States of America,Jump Up Tour
25,Jul,1982,Saratoga Performing Arts Center,Saratoga Springs,United States of America,Jump Up Tour
27,Jul,1982,Mann Music Center,Philadelphia,United States of America,Jump Up Tour
29,Jul,1982,Maple Leaf Gardens,Toronto,Canada,Jump Up Tour
30,Jul,1982,Ottawa Civic Centre,Ottawa,Canada,Jump Up Tour
2,Aug,1982,Montreal Forum,Montreal,Canada,Jump Up Tour
3,Aug,1982,Boston Garden,Boston,United States of America,Jump Up Tour
5,Aug,1982,Madison Square Garden,New York,United States of America,Jump Up Tour
6,Aug,1982,Madison Square Garden,New York,United States of America,Jump Up Tour
7,Aug,1982,Madison Square Garden,New York,United States of America,Jump Up Tour
2,Nov,1982,City Hall,Newcastle Upon Tyne,United Kingdom,1982 UK Tour
3,Nov,1982,City Hall,Newcastle Upon Tyne,United Kingdom,1982 UK Tour
4,Nov,1982,Edinburgh Playhouse,Edinburgh,United Kingdom,1982 UK Tour
5,Nov,1982,Edinburgh Playhouse,Edinburgh,United Kingdom,1982 UK Tour
6,Nov,1982,Caird Hall,Dundee,United Kingdom,1982 UK Tour
7,Nov,1982,Apollo Theatre,Glasgow,United Kingdom,1982 UK Tour
8,Nov,1982,Apollo Theatre,Glasgow,United Kingdom,1982 UK Tour
10,Nov,1982,City Hall,Sheffield,United Kingdom,1982 UK Tour
11,Nov,1982,City Hall,Sheffield,United Kingdom,1982 UK Tour
13,Nov,1982,Empire Theatre,Liverpool,United Kingdom,1982 UK Tour
14,Nov,1982,Empire Theatre,Liverpool,United Kingdom,1982 UK Tour
15,Nov,1982,Blackpool Opera House,Blackpool,United Kingdom,1982 UK Tour
16,Nov,1982,Blackpool Opera House,Blackpool,United Kingdom,1982 UK Tour
17,Nov,1982,Apollo Theatre,Manchester,United Kingdom,1982 UK Tour
18,Nov,1982,Apollo Theatre,Manchester,United Kingdom,1982 UK Tour
19,Nov,1982,Apollo Theatre,Manchester,United Kingdom,1982 UK Tour
21,Nov,1982,Birmingham Odeon,Birmingham,United Kingdom,1982 UK Tour
22,Nov,1982,Birmingham Odeon,Birmingham,United Kingdom,1982 UK Tour
23,Nov,1982,Birmingham Odeon,Birmingham,United Kingdom,1982 UK Tour
25,Nov,1982,St. Davids Hall,Cardiff,United Kingdom,1982 UK Tour
26,Nov,1982,St. Davids Hall,Cardiff,United Kingdom,1982 UK Tour
27,Nov,1982,Royal Concert Hall,Nottingham,United Kingdom,1982 UK Tour
28,Nov,1982,Royal Concert Hall,Nottingham,United Kingdom,1982 UK Tour
3,Dec,1982,Winter Gardens,Bournemouth,United Kingdom,1982 UK Tour
4,Dec,1982,Winter Gardens,Bournemouth,United Kingdom,1982 UK Tour
5,Dec,1982,Gaumont Theatre,Southampton,United Kingdom,1982 UK Tour
6,Dec,1982,Gaumont Theatre,Southampton,United Kingdom,1982 UK Tour
7,Dec,1982,Brighton Centre,Brighton,United Kingdom,1982 UK Tour
9,Dec,1982,Hammersmith Odeon,London,United Kingdom,1982 UK Tour
10,Dec,1982,Hammersmith Odeon,London,United Kingdom,1982 UK Tour
11,Dec,1982,Hammersmith Odeon,London,United Kingdom,1982 UK Tour
12,Dec,1982,Hammersmith Odeon,London,United Kingdom,1982 UK Tour
13,Dec,1982,Hammersmith Odeon,London,United Kingdom,1982 UK Tour
14,Dec,1982,Hammersmith Odeon,London,United Kingdom,1982 UK Tour
15,Dec,1982,Hammersmith Odeon,London,United Kingdom,1982 UK Tour
16,Dec,1982,Hammersmith Odeon,London,United Kingdom,1982 UK Tour
17,Dec,1982,Hammersmith Odeon,London,United Kingdom,1982 UK Tour
18,Dec,1982,Hammersmith Odeon,London,United Kingdom,1982 UK Tour
19,Dec,1982,Hammersmith Odeon,London,United Kingdom,1982 UK Tour
20,Dec,1982,Hammersmith Odeon,London,United Kingdom,1982 UK Tour
21,Dec,1982,Hammersmith Odeon,London,United Kingdom,1982 UK Tour
22,Dec,1982,Hammersmith Odeon,London,United Kingdom,1982 UK Tour
23,Dec,1982,Hammersmith Odeon,London,United Kingdom,1982 UK Tour
24,Dec,1982,Hammersmith Odeon,London,United Kingdom,1982 UK Tour
7,Oct,1983,Sun City Casino,Johannesburg,South Africa,none
19,Feb,1984,Addington Showgrounds,Christchurch,New Zealand,too low for zero tour of australia
22,Feb,1984,Athletic Park,Wellington,New Zealand,too low for zero tour of australia
25,Feb,1984,Mount Stadium,Auckland,New Zealand,too low for zero tour of australia
28,Feb,1984,Entertainment Center,Melbourne,Australia,too low for zero tour of australia
29,Feb,1984,Entertainment Center,Melbourne,Australia,too low for zero tour of australia
1,Mar,1984,Entertainment Center,Melbourne,Australia,too low for zero tour of australia
2,Mar,1984,Entertainment Center,Melbourne,Australia,too low for zero tour of australia
3,Mar,1984,Entertainment Center,Melbourne,Australia,too low for zero tour of australia
4,Mar,1984,ABC Studios,Melbourne,Australia,too low for zero tour of australia
6,Mar,1984,Entertainment Center,Perth,Australia,too low for zero tour of australia
7,Mar,1984,Entertainment Center,Perth,Australia,too low for zero tour of australia
9,Mar,1984,Memorial Drive,Adelaide,Australia,too low for zero tour of australia
12,Mar,1984,Festival Hall,Brisbane,Australia,too low for zero tour of australia
13,Mar,1984,Festival Hall,Brisbane,Australia,too low for zero tour of australia
14,Mar,1984,Festival Hall,Brisbane,Australia,too low for zero tour of australia
16,Mar,1984,Entertainment Center,Sydney,Australia,too low for zero tour of australia
17,Mar,1984,Entertainment Center,Sydney,Australia,too low for zero tour of australia
18,Mar,1984,Entertainment Center,Sydney,Australia,too low for zero tour of australia
19,Mar,1984,Entertainment Center,Sydney,Australia,too low for zero tour of australia
20,Mar,1984,Entertainment Center,Sydney,Australia,too low for zero tour of australia
21,Mar,1984,Entertainment Center,Sydney,Australia,too low for zero tour of australia
22,Mar,1984,Entertainment Center,Sydney,Australia,too low for zero tour of australia
24,Mar,1984,Entertainment Center,Sydney,Australia,too low for zero tour of australia
25,Mar,1984,Entertainment Center,Sydney,Australia,too low for zero tour of australia
30,Mar,1984,Hong Kong Coliseum,Hong Kong,Hong Kong,Too Low For Zero Far East Tour
31,Mar,1984,Hong Kong Coliseum,Hong Kong,Hong Kong,Too Low For Zero Far East Tour
5,Apr,1984,Hala Oliwia,Gdansk,Poland,European Express Tour
17,Apr,1984,Olympic Ice Stadium,Sarajevo,Bosnia and Herzegovina,European Express Tour
18,Apr,1984,Pionir Hall,Belgrade,Serbia,European Express Tour
19,Apr,1984,Dom Sportova,Zagreb,Croatia,European Express Tour
21,Apr,1984,Sport Hall,Budapest,Hungary,European Express Tour
22,Apr,1984,Sport Hall,Budapest,Hungary,European Express Tour
24,Apr,1984,Palace Kultury,Prague,Czech Republic,European Express Tour
25,Apr,1984,Havirov Sport Hall,Ostrava,Czech Republic,European Express Tour
26,Apr,1984,Halla Spodek,Katowice,Poland,European Express Tour
27,Apr,1984,Halla Congressova,Warsaw,Poland,European Express Tour
28,Apr,1984,Olivia Sporthall,Gdansk,Poland,European Express Tour
30,Apr,1984,Ice Stadium,Stockholm,Sweden,European Express Tour
2,May,1984,Drammenshalle,Oslo,Norway,European Express Tour
4,May,1984,Brøndbyhallen,Brøndby,Denmark,European Express Tour
6,May,1984,Sportpaleis Ahoy,Rotterdam,Netherlands,European Express Tour
7,May,1984,Vorst Nationaal,Brussels,Belgium,European Express Tour
8,May,1984,Vorst Nationaal,Brussels,Belgium,European Express Tour
11,May,1984,Sporthalle,Cologne,Germany,European Express Tour
12,May,1984,Grugahalle,Essen,Germany,European Express Tour
13,May,1984,Grugahalle,Essen,Germany,European Express Tour
14,May,1984,Stadhalle,Bremen,Germany,European Express Tour
15,May,1984,Schleyerhalle,Stuttgart,Germany,European Express Tour
17,May,1984,Stadion Sporthalle,Hanover,Germany,European Express Tour
18,May,1984,Waldbuhne,Berlin,Germany,European Express Tour
20,May,1984,Frelchtheater,Bad Segeberg,Germany,European Express Tour
22,May,1984,Olympichalle,Munich,Germany,European Express Tour
23,May,1984,Wiener Stadthalle,Vienna,Austria,European Express Tour
25,May,1984,Patinoire Des Vernets,Geneva,Switzerland,European Express Tour
26,May,1984,Hallenstadion,Zurich,Switzerland,European Express Tour
27,May,1984,Hallenstadion,Zurich,Switzerland,European Express Tour
28,May,1984,Palais Omnisports,Paris,France,European Express Tour
29,May,1984,Palais Omnisports,Paris,France,European Express Tour
30,May,1984,Palais Omnisports,Paris,France,European Express Tour
31,May,1984,Palais Des Sports,Grenoble,France,European Express Tour
2,Jun,1984,Sud West Stadium,Ludwig Shafen,Germany,SWF3 Festival
4,Jun,1984,Parc des Expositions,Avignon,France,European Express Tour
5,Jun,1984,Parc des Expositions,Nice,France,European Express Tour
6,Jun,1984,Palais Des Sports,Toulouse,France,European Express Tour
8,Jun,1984,Pavelle Deportes,Madrid,Spain,European Express Tour
9,Jun,1984,Sports Palace,Barcelona,Spain,European Express Tour
11,Jun,1984,Teatro Tenda,Milan,Italy,European Express Tour
12,Jun,1984,Teatro Tenda,Milan,Italy,European Express Tour
15,Jun,1984,Kings Hall,Belfast,Ireland,European Express Tour
16,Jun,1984,RDS,Dublin,Ireland,European Express Tour
18,Jun,1984,Queens Hall,Leeds,United Kingdom,European Express Tour
19,Jun,1984,Queens Hall,Leeds,United Kingdom,European Express Tour
20,Jun,1984,Playhouse,Edinburgh,United Kingdom,European Express Tour
21,Jun,1984,Playhouse,Edinburgh,United Kingdom,European Express Tour
23,Jun,1984,National Exhibition Center,Birmingham,United Kingdom,European Express Tour
24,Jun,1984,National Exhibition Center,Birmingham,United Kingdom,European Express Tour
25,Jun,1984,National Exhibition Center,Birmingham,United Kingdom,European Express Tour
30,Jun,1984,Wembley Stadium,London,United Kingdom,Summer of 84 Concert
10,Aug,1984,unknown,Monte Carlo,Monaco,red cross gala for prince rainier
17,Aug,1984,ASU Activities Center,Tempe,United States of America,Breaking Hearts Tour
19,Aug,1984,Sports Arena,San Diego,United States of America,Breaking Hearts Tour
21,Aug,1984,The Forum,Los Angeles,United States of America,Breaking Hearts Tour
22,Aug,1984,The Forum,Los Angeles,United States of America,Breaking Hearts Tour
23,Aug,1984,The Forum,Los Angeles,United States of America,Breaking Hearts Tour
24,Aug,1984,Thomas and Mack Center,Las Vegas,United States of America,Breaking Hearts Tour
26,Aug,1984,Irvine Meadows Amphitheatre,Irvine,United States of America,Breaking Hearts Tour
28,Aug,1984,Cow Palace,Daly City,United States of America,Breaking Hearts Tour
30,Aug,1984,Oakland-Alameda County Coliseum Arena,Oakland,United States of America,Breaking Hearts Tour
31,Aug,1984,Tacoma Dome,Tacoma,United States of America,Breaking Hearts Tour
1,Sep,1984,Pacific Coliseum,Vancouver,Canada,Breaking Hearts Tour
2,Sep,1984,The Summit,Houston,United States of America,Breaking Hearts Tour
3,Sep,1984,Olympic Saddledome,Calgary,Canada,Breaking Hearts Tour
7,Sep,1984,McNichols Arena,Denver,United States of America,Breaking Hearts Tour
9,Sep,1984,Alpine Valley Music Theatre,East Troy,United States of America,Breaking Hearts Tour
11,Sep,1984,Rosemont Horizon,Rosemont,United States of America,Breaking Hearts Tour
12,Sep,1984,Joe Louis Arena,Detroit,United States of America,Breaking Hearts Tour
13,Sep,1984,Maple Leaf Gardens,Toronto,Canada,Breaking Hearts Tour
15,Sep,1984,Blossom Music Center,Cuyahoga Falls,United States of America,Breaking Hearts Tour
16,Sep,1984,Blossom Music Center,Cuyahoga Falls,United States of America,Breaking Hearts Tour
18,Sep,1984,St. Paul Civic Center,St. Paul,United States of America,Breaking Hearts Tour
20,Sep,1984,Kemper Arena,Kansas City,United States of America,Breaking Hearts Tour
22,Sep,1984,Hilton Coliseum,Ames,United States of America,Breaking Hearts Tour
23,Sep,1984,Carver–Hawkeye Arena,Iowa City,United States of America,Breaking Hearts Tour
28,Sep,1984,The Summit,Houston,United States of America,Breaking Hearts Tour
30,Sep,1984,LSU Assembly Center,Baton Rouge,United States of America,Breaking Hearts Tour
3,Oct,1984,Mid South Coliseum,Memphis,United States of America,Breaking Hearts Tour
6,Oct,1984,The Omni,Atlanta,United States of America,Breaking Hearts Tour
7,Oct,1984,Murphy Center,Murfreesboro,United States of America,Breaking Hearts Tour
9,Oct,1984,Stokely Athletic Center,Knoxville,United States of America,Breaking Hearts Tour
13,Oct,1984,Hollywood Sportatorium,Hollywood,United States of America,Breaking Hearts Tour
17,Oct,1984,Capital Centre,Landover,United States of America,Breaking Hearts Tour
18,Oct,1984,Civic Arena,Pittsburgh,United States of America,Breaking Hearts Tour
19,Oct,1984,Scope Arena,Norfolk,United States of America,Breaking Hearts Tour
20,Oct,1984,Spectrum,Philadelphia,United States of America,Breaking Hearts Tour
23,Oct,1984,Madison Square Garden,New York,United States of America,Breaking Hearts Tour
24,Oct,1984,Madison Square Garden,New York,United States of America,Breaking Hearts Tour
25,Oct,1984,Madison Square Garden,New York,United States of America,Breaking Hearts Tour
26,Oct,1984,Madison Square Garden,New York,United States of America,Breaking Hearts Tour
28,Oct,1984,The Spectrum,Philadelphia,United States of America,Breaking Hearts Tour
29,Oct,1984,Veterans Memorial Coliseum,New Haven,United States of America,Breaking Hearts Tour
30,Oct,1984,Montreal Forum,Montreal,Canada,Breaking Hearts Tour
31,Oct,1984,Colisée de Québec,Quebec City,Canada,Breaking Hearts Tour
3,Nov,1984,The Centrum,Worcester,United States of America,Breaking Hearts Tour
4,Nov,1984,The Centrum,Worcester,United States of America,Breaking Hearts Tour
5,Nov,1984,The Centrum,Worcester,United States of America,Breaking Hearts Tour
7,Nov,1984,Reynolds Coliseum,Raleigh,United States of America,Breaking Hearts Tour
8,Nov,1984,Charlotte Coliseum,Charlotte,United States of America,Breaking Hearts Tour
9,Nov,1984,Reynolds Coliseum,Raleigh,United States of America,Breaking Hearts Tour
12,Nov,1984,Madison Square Garden,New York,United States of America,Breaking Hearts Tour
17,Nov,1984,USF Sun Dome,Tampa,United States of America,Breaking Hearts Tour
18,Nov,1984,USF Sun Dome,Tampa,United States of America,Breaking Hearts Tour
2,Jun,1985,Picturesque Venue,Montreaux,Switzerland,montreaux rock festival
13,Jul,1985,Wembley Stadium,London,United Kingdom,Live Aid
14,Nov,1985,Royal Dublin Society,Dublin,Ireland,world tour 85/86
15,Nov,1985,Royal Dublin Society,Dublin,Ireland,world tour 85/86
16,Nov,1985,Royal Dublin Society,Dublin,Ireland,world tour 85/86
17,Nov,1985,Royal Dublin Society,Dublin,Ireland,world tour 85/86
20,Nov,1985,Newport Center,Newport,United Kingdom,world tour 85/86
21,Nov,1985,Newport Center,Newport,United Kingdom,world tour 85/86
23,Nov,1985,St. Austell Coliseum,St. Austell,United Kingdom,world tour 85/86
24,Nov,1985,St. Austell Coliseum,St. Austell,United Kingdom,world tour 85/86
26,Nov,1985,City Hall,Sheffield,United Kingdom,world tour 85/86
27,Nov,1985,City Hall,Sheffield,United Kingdom,world tour 85/86
28,Nov,1985,Edinburgh Playhouse,Edinburgh,United Kingdom,world tour 85/86
29,Nov,1985,Edinburgh Playhouse,Edinburgh,United Kingdom,world tour 85/86
1,Dec,1985,Manchester Apollo,Manchester,United Kingdom,world tour 85/86
2,Dec,1985,Manchester Apollo,Manchester,United Kingdom,world tour 85/86
3,Dec,1985,Manchester Apollo,Manchester,United Kingdom,world tour 85/86
4,Dec,1985,Royal Concert Hall,Nottingham,United Kingdom,world tour 85/86
5,Dec,1985,Royal Concert Hall,Nottingham,United Kingdom,world tour 85/86
7,Dec,1985,Brighton Centre,Brighton,United Kingdom,world tour 85/86
11,Dec,1985,Wembley Arena,London,United Kingdom,world tour 85/86
12,Dec,1985,Wembley Arena,London,United Kingdom,world tour 85/86
13,Dec,1985,Wembley Arena,London,United Kingdom,world tour 85/86
14,Dec,1985,Wembley Arena,London,United Kingdom,world tour 85/86
15,Dec,1985,Wembley Arena,London,United Kingdom,world tour 85/86
16,Dec,1985,Wembley Arena,London,United Kingdom,world tour 85/86
17,Dec,1985,Wembley Arena,London,United Kingdom,world tour 85/86
18,Dec,1985,Wembley Arena,London,United Kingdom,world tour 85/86
19,Dec,1985,Wembley Arena,London,United Kingdom,world tour 85/86
21,Dec,1985,National Exhibition Center,Birmingham,United Kingdom,world tour 85/86
22,Dec,1985,National Exhibition Center,Birmingham,United Kingdom,world tour 85/86
23,Dec,1985,National Exhibition Center,Birmingham,United Kingdom,world tour 85/86
30,Dec,1985,International Center,Bournemouth,United Kingdom,world tour 85/86
31,Dec,1985,International Center,Bournemouth,United Kingdom,world tour 85/86
3,Jan,1986,Glasgow Center,Glasgow,United Kingdom,world tour 85/86
4,Jan,1986,Glasgow Center,Glasgow,United Kingdom,world tour 85/86
5,Jan,1986,City Hall,Newcastle,United Kingdom,world tour 85/86
6,Jan,1986,City Hall,Newcastle,United Kingdom,world tour 85/86
7,Jan,1986,City Hall,Newcastle,United Kingdom,world tour 85/86
9,Jan,1986,Kings Hall,Belfast,Ireland,world tour 85/86
10,Jan,1986,Kings Hall,Belfast,Ireland,world tour 85/86
11,Jan,1986,Kings Hall,Belfast,Ireland,world tour 85/86
1,Mar,1986,Palais Des Desportes,Madrid,Spain,world tour 85/86
2,Mar,1986,Velodromo de Anoeta,San Sebastian,Spain,world tour 85/86
4,Mar,1986,Sports Palace,Barcelona,Spain,world tour 85/86
6,Mar,1986,Patinoire Meriadeck,Bordeaux,France,world tour 85/86
7,Mar,1986,Palais des Sports,Toulouse,France,world tour 85/86
8,Mar,1986,Palais des Sports,Toulouse,France,world tour 85/86
10,Mar,1986,palais des sports,Lyon,France,world tour 85/86
11,Mar,1986,Chapiteau a Bonneveine,Marseille,France,world tour 85/86
14,Mar,1986,Palais des Sports,Beaulieu,France,world tour 85/86
15,Mar,1986,Parc De Penfeld,Brest,France,world tour 85/86
17,Mar,1986,Palais des Sports Saint-Sauveur,Lille,France,world tour 85/86
18,Mar,1986,Palais Des Sports,Lille,France,world tour 85/86
19,Mar,1986,Palais Omnisports,Paris,France,world tour 85/86
20,Mar,1986,Palais Omnisports,Bercy,France,world tour 85/86
21,Mar,1986,Palais Omnisports,Paris,France,world tour 85/86
22,Mar,1986,Palais Omnisports,Paris,France,world tour 85/86
25,Mar,1986,The Sporthall St.Jacob,Basel,Switzerland,world tour 85/86
30,Mar,1986,Olympiahalle,Munchen,Germany,world tour 85/86
1,Apr,1986,Waldbuhne Amphitheatre,Berlin,Germany,world tour 85/86
